NM_016818	ABCG1
NM_207174	ABCG1
NM_001348986	ABCG2
NM_001348987	ABCG2
NM_001348988	ABCG2
NM_001348989	ABCG2
NM_001257386	ABCG2
NM_001348985	ABCG2
NM_004827	ABCG2
NM_001348191	ABCG4
NM_001348192	ABCG4
NM_022169	ABCG4
NM_001142505	ABCG4
NM_022436	ABCG5
NM_001357321	ABCG8
NM_022437	ABCG8
NM_032604	ABHD1
NM_001272069	ABHD10
NM_018394	ABHD10
NR_073570	ABHD10
NR_073571	ABHD10
NM_001145364	ABHD11
NM_001301058	ABHD11
NM_001321382	ABHD11
NM_001321383	ABHD11
NM_148912	ABHD11
NM_148913	ABHD11
NR_026912	ABHD11
NR_135627	ABHD11
NR_026690	ABHD11-AS1
NM_015600	ABHD12
NM_001042472	ABHD12
NM_001206673	ABHD12B
NM_181533	ABHD12B
NM_181814	ABHD12B
NM_032859	ABHD13
NM_015407	ABHD14A
NM_001316331	ABHD14A-ACY1
NM_001146314	ABHD14B
NM_001254753	ABHD14B
NM_032750	ABHD14B
NM_198147	ABHD15
NM_001177515	ABHD16A
NR_033488_4	ABHD16A
NM_021160_5	ABHD16A
NR_033489_4	ABHD16A
NM_001177515_3	ABHD16A
NR_033488_7	ABHD16A
NM_021160_6	ABHD16A
NR_033489_2	ABHD16A
NM_001177515_4	ABHD16A
NR_033488_2	ABHD16A
NM_021160_7	ABHD16A
NR_033489	ABHD16A
NM_001177515_6	ABHD16A
NR_033488_3	ABHD16A
NM_021160_3	ABHD16A
NR_033489_6	ABHD16A
NM_001177515_2	ABHD16A
NR_033488	ABHD16A
NM_021160_4	ABHD16A
NR_033489_3	ABHD16A
NM_001177515_5	ABHD16A
NR_033488_5	ABHD16A
NM_021160	ABHD16A
NR_033489_7	ABHD16A
NM_001177515_7	ABHD16A
NR_033488_6	ABHD16A
NM_021160_2	ABHD16A
NR_033489_5	ABHD16A
NM_080622	ABHD16B
NM_001130111	ABHD17A
NM_031213	ABHD17A
NM_016014	ABHD17B
NM_001025780	ABHD17B
NM_021214	ABHD17C
NM_001039717	ABHD18
NM_001366043	ABHD18
NM_001366044	ABHD18
NM_001366045	ABHD18
NM_001366046	ABHD18
NM_001366047	ABHD18
NM_001366048	ABHD18
NM_025097	ABHD18
NM_001319305	ABHD18
NM_001319306	ABHD18
NM_001319307	ABHD18
NM_001358451	ABHD18
NM_001358454	ABHD18
NM_001366037	ABHD18
NM_001366038	ABHD18
NM_001366039	ABHD18
NM_001366040	ABHD18
NM_001366041	ABHD18
NM_001366042	ABHD18
NM_007011	ABHD2
NM_152924	ABHD2
NM_001308257	ABHD3
NM_001308256	ABHD3
NM_138340	ABHD3
NM_022060	ABHD4
NM_001365650	ABHD5
NR_158560	ABHD5
NM_016006	ABHD5
NM_001355186	ABHD5
NM_001365649	ABHD5
NM_020676	ABHD6
NM_001320126	ABHD6
NM_024527	ABHD8
NM_001012750	ABI1
NM_001012751	ABI1
NM_001012752	ABI1
NM_001178116	ABI1
NM_001178119	ABI1
NM_001178120	ABI1
NM_001178121	ABI1
NM_001178122	ABI1
NM_001178123	ABI1
NM_001178124	ABI1
NM_001178125	ABI1
NM_001348029	ABI1
NM_001348030	ABI1
NM_001348031	ABI1
NM_001348032	ABI1
NM_001348033	ABI1
NM_001348034	ABI1
NM_005470	ABI1
NR_145410	ABI1
NM_001282925	ABI2
NM_001282926	ABI2
NM_001282927	ABI2
NM_001282932	ABI2
NM_001375662	ABI2
NM_001375663	ABI2
NM_001375664	ABI2
NM_001375665	ABI2
NM_001375666	ABI2
NM_001375667	ABI2
NM_001375668	ABI2
NM_001375669	ABI2
NM_001375670	ABI2
NM_001375671	ABI2
NM_001375672	ABI2
NM_001375673	ABI2
NM_001375674	ABI2
NM_001375675	ABI2
NM_001375676	ABI2
NM_001375677	ABI2
NM_001375678	ABI2
NM_001375679	ABI2
NM_001375680	ABI2
NM_001375681	ABI2
NM_001375682	ABI2
NM_001375683	ABI2
NM_001375684	ABI2
NM_001375685	ABI2
NM_001375686	ABI2
NM_001375687	ABI2
NM_001375688	ABI2
NM_001375689	ABI2
NM_001375690	ABI2
NM_001375691	ABI2
NM_001375692	ABI2
NM_001375693	ABI2
NM_001375695	ABI2
NM_001375696	ABI2
NM_001375698	ABI2
NM_001375699	ABI2
NM_001375702	ABI2
NM_001375704	ABI2
NM_001375706	ABI2
NM_001375707	ABI2
NM_001375708	ABI2
NM_001375709	ABI2
NM_001375710	ABI2
NM_001375711	ABI2
NM_001375712	ABI2
NM_001375714	ABI2
NM_001375717	ABI2
NM_001375719	ABI2
NM_001375721	ABI2
NM_001375722	ABI2
NM_001375723	ABI2
NM_001375724	ABI2
NM_001375725	ABI2
NM_001375726	ABI2
NM_001375727	ABI2
NM_001375728	ABI2
NM_001375729	ABI2
NM_001375730	ABI2
NM_001375731	ABI2
NM_001375732	ABI2
NM_001375733	ABI2
NM_001375734	ABI2
NM_001375735	ABI2
NM_001375736	ABI2
NM_001375737	ABI2
NM_001375738	ABI2
NM_001375739	ABI2
NM_001375740	ABI2
NM_001375741	ABI2
NM_001375742	ABI2
NM_001375743	ABI2
NM_001375744	ABI2
NM_001375745	ABI2
NM_001375746	ABI2
NM_001375747	ABI2
NM_001375748	ABI2
NM_001375749	ABI2
NM_001375750	ABI2
NM_001375751	ABI2
NM_001375752	ABI2
NM_001375753	ABI2
NM_001375754	ABI2
NM_001375755	ABI2
NM_005759	ABI2
NR_164704	ABI2
NR_164705	ABI2
NR_164706	ABI2
NR_164707	ABI2
NR_164708	ABI2
NR_164709	ABI2
NR_164710	ABI2
NR_164711	ABI2
NR_164712	ABI2
NR_164713	ABI2
NR_164714	ABI2
NR_164715	ABI2
NR_164716	ABI2
NR_164717	ABI2
NR_164718	ABI2
NM_001135186	ABI3
NM_016428	ABI3
NM_001349329	ABI3BP
NM_001349330	ABI3BP
NM_001349331	ABI3BP
NM_001349332	ABI3BP
NM_001365642	ABI3BP
NM_001375547	ABI3BP
NM_001375549	ABI3BP
NM_001375550	ABI3BP
NM_015429	ABI3BP
NM_001365643	ABI3BP
NM_017832	ABITRAM
NM_007313	ABL1
NM_005157	ABL1
NM_001136000	ABL2
NM_001168239	ABL2
NM_005158	ABL2
NM_001168236	ABL2
NM_001168237	ABL2
NM_001168238	ABL2
NM_007314	ABL2
NM_001136001	ABL2
NM_001352440	ABLIM1
NM_001352441	ABLIM1
NM_001322882	ABLIM1
NM_001322888	ABLIM1
NM_001322889	ABLIM1
NM_001322890	ABLIM1
NM_001322891	ABLIM1
NM_001322892	ABLIM1
NM_001322893	ABLIM1
NM_001322894	ABLIM1
NM_001322895	ABLIM1
NM_001322896	ABLIM1
NM_001322897	ABLIM1
NM_001322898	ABLIM1
NM_001322899	ABLIM1
NM_001322900	ABLIM1
NM_001352443	ABLIM1
NM_006720	ABLIM1
NM_001352442	ABLIM1
NM_002313	ABLIM1
NM_001003407	ABLIM1
NM_001322883	ABLIM1
NM_001322887	ABLIM1
NM_001322884	ABLIM1
NM_001322885	ABLIM1
NM_001322886	ABLIM1
NM_001286688	ABLIM2
NM_001130083	ABLIM2
NM_001130084	ABLIM2
NM_001130085	ABLIM2
NM_001130086	ABLIM2
NM_001130087	ABLIM2
NM_032432	ABLIM2
NM_001130088	ABLIM2
NM_001301018	ABLIM3
NM_001345858	ABLIM3
NM_001345859	ABLIM3
NM_001345860	ABLIM3
NM_014945	ABLIM3
NM_001301015	ABLIM3
NM_001301028	ABLIM3
NM_001345861	ABLIM3
NM_001370417	ABLIM3
NM_001370418	ABLIM3
NM_020469	ABO
NM_020469_2	ABO
NM_001256847_3	ABR
NM_001282149_3	ABR
NM_001092_3	ABR
NM_001322840_3	ABR
NM_021962_3	ABR
NM_001159746	ABR
NM_001322841_3	ABR
NM_001322842	ABR
NM_001256847_2	ABR
NM_001282149_2	ABR
NM_001092	ABR
NM_001322841	ABR
NM_001322840_2	ABR
NM_021962	ABR
NM_001159746_3	ABR
NM_001256847	ABR
NM_001282149	ABR
NM_001159746_2	ABR
NM_001322840	ABR
NM_001322841_2	ABR
NM_021962_2	ABR
NM_001092_2	ABR
NM_139166	ABRA
NM_021243	ABRACL
NM_001345962	ABRAXAS1
NM_139076	ABRAXAS1
NM_032182	ABRAXAS2
NM_013375	ABT1
NM_032548	ABTB1
NR_033429	ABTB1
NM_172027	ABTB1
NM_145804	ABTB2
NM_001130410	ACAA1
NR_024024	ACAA1
NM_001607	ACAA1
NM_006111	ACAA2
NM_198837_2	ACACA
NM_198838_2	ACACA
NM_198836_2	ACACA
NM_198839	ACACA
NM_198834_2	ACACA
NM_198837	ACACA
NM_198838	ACACA
NM_198836	ACACA
NM_198839_2	ACACA
NM_198834	ACACA
NM_001093	ACACB
NM_001136538	ACAD10
NM_025247	ACAD10
NR_132426	ACAD11
NR_132427	ACAD11
NR_132428	ACAD11
NM_032169	ACAD11
NM_014384	ACAD8
NR_033426	ACAD9
NM_014049	ACAD9
NM_001608	ACADL
NM_000016	ACADM
NM_001127328	ACADM
NM_001286042	ACADM
NM_001286043	ACADM
NM_001286044	ACADM
NM_000017	ACADS
NM_001302554	ACADS
NM_001609	ACADSB
NM_001330174	ACADSB
NM_001270447	ACADVL
NM_001033859	ACADVL
NM_001270448	ACADVL
NM_000018	ACADVL
NM_001369268	ACAN
NM_001135	ACAN
NM_013227	ACAN
NM_014716	ACAP1
NM_012287	ACAP2
NM_030649	ACAP3
NM_000019	ACAT1
NM_005891	ACAT2
NM_001303253	ACAT2
NM_022735	ACBD3
NR_146443	ACBD3-AS1
NM_001321352	ACBD4
NM_001321353	ACBD4
NM_001135705	ACBD4
NM_001135706	ACBD4
NM_001135707	ACBD4
NM_024722	ACBD4
NM_001352570	ACBD5
NM_001301252	ACBD5
NM_001301254	ACBD5
NM_145698	ACBD5
NM_001271512	ACBD5
NM_001352568	ACBD5
NM_001352569	ACBD5
NM_001352571	ACBD5
NM_001352572	ACBD5
NM_001352573	ACBD5
NM_001352581	ACBD5
NM_001352583	ACBD5
NM_001352584	ACBD5
NM_001352585	ACBD5
NM_001352586	ACBD5
NM_001352587	ACBD5
NM_001352588	ACBD5
NM_001352579	ACBD5
NM_001352576	ACBD5
NM_001352578	ACBD5
NM_001042473	ACBD5
NM_001301251	ACBD5
NM_001301253	ACBD5
NM_001352574	ACBD5
NM_001352575	ACBD5
NM_001352577	ACBD5
NM_001352580	ACBD5
NM_001352582	ACBD5
NM_032360	ACBD6
NM_001039844	ACBD7
NR_144471	ACBD7-DCLRE1CP1
NM_001127219	ACCS
NM_032592	ACCS
NM_001031854	ACCSL
NM_001363113	ACCSL
NM_001082486	ACD
NM_022914	ACD
NM_000789	ACE
NM_001178057	ACE
NM_152830	ACE
NM_001371415	ACE2
NM_021804	ACE2
NM_133492	ACER1
NM_001010887	ACER2
NM_001300953	ACER3
NM_001300954	ACER3
NM_001300955	ACER3
NM_018367	ACER3
NM_001367917	ACHE
NM_000665	ACHE
NM_001282449	ACHE
NM_001302621	ACHE
NM_001367915	ACHE
NR_160408	ACHE
NM_001302622	ACHE
NM_001367918	ACHE
NM_001367919	ACHE
NR_160407	ACHE
NM_001164816	ACIN1
NM_001164817	ACIN1
NM_001164814	ACIN1
NM_001164815	ACIN1
NM_014977	ACIN1
NM_001122951	ACKR1
NM_002036	ACKR1
NM_001296	ACKR2
NM_020311	ACKR3
NM_016557	ACKR4
NM_178445	ACKR4
NM_001303274	ACLY
NM_001303275	ACLY
NM_001096	ACLY
NM_198830	ACLY
NM_001307983	ACMSD
NM_138326	ACMSD
NM_001278352	ACO1
NM_001362840	ACO1
NM_002197	ACO1
NM_001098	ACO2
NM_001258406	ACOD1
NM_001037161	ACOT1
NM_147161	ACOT11
NM_015547	ACOT11
NM_130767	ACOT12
NM_001160094	ACOT13
NM_018473	ACOT13
NR_046028	ACOT2
NM_001364178	ACOT2
NM_001364177	ACOT2
NM_006821	ACOT2
NM_152331	ACOT4
NM_001365789	ACOT6
NM_001365788	ACOT6
NM_001037162	ACOT6
NM_181866	ACOT7
NM_181865	ACOT7
NM_181864	ACOT7
NM_007274	ACOT7
NM_005469	ACOT8
NM_001033583	ACOT9
NM_001037171	ACOT9
NM_001330259	ACOT9
NM_001185039	ACOX1
NM_004035	ACOX1
NM_007292	ACOX1
NM_003500	ACOX2
NM_001375783	ACOX3
NM_001375786	ACOX3
NM_001375787	ACOX3
NM_001375788	ACOX3
NM_001375789	ACOX3
NM_001375790	ACOX3
NM_001101667	ACOX3
NM_001375784	ACOX3
NM_001375785	ACOX3
NM_003501	ACOX3
NM_001365487	ACOXL
NM_001371254	ACOXL
NM_001142807	ACOXL
NR_122074	ACOXL-AS1
NM_001040649	ACP1
NM_007099	ACP1
NR_024080	ACP1
NM_004300	ACP1
NM_001302489	ACP2
NM_001610	ACP2
NM_001302490	ACP2
NM_001302491	ACP2
NM_001302492	ACP2
NM_001357016	ACP2
NM_001099	ACP3
NM_001292037	ACP3
NM_001134194	ACP3
NM_033068	ACP4
NM_001611	ACP5
NM_001322023	ACP5
NM_001111034	ACP5
NM_001111035	ACP5
NM_001111036	ACP5
NM_016361	ACP6
NR_136635	ACP6
NM_001323625	ACP6
NR_136633	ACP6
NR_136634	ACP6
NR_136636	ACP6
NM_001004318	ACP7
NM_001363687	ACP7
NM_001097_2	ACR
NM_001097	ACR
NM_032489	ACRBP
NM_001612	ACRV1
NM_020069	ACRV1
NM_020107	ACRV1
NM_020108	ACRV1
NM_001199377	ACSBG1
NM_015162	ACSBG1
NM_001289180	ACSBG2
NM_001289177	ACSBG2
NM_001289178	ACSBG2
NM_001289179	ACSBG2
